Biomarker/Risk factor 	Source of Code list	Reviewed by CPRD team (date)	Signed off by CPRD team	Data extraction made (date)	Data transfer (date)	Notes	Biomarker (values on continous scale)	Mostly commonly used measurement units	Lower biological plausible limit	Upper biological plausible limit	Source of plausible limits (literature (SS), clinician, Scoping review (CH), internet)	Evidence for plausible limits
Monocyte count	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	40		From previous tasks sheet
Monocytes %	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					%	0	15		https://my.clevelandclinic.org/health/body/22110-monocytes
Neutrophil count	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	850		From previous tasks sheet
Neutrophils %	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					%	0	100		https://www.ucsfhealth.org/medical-tests/blood-differential-test
NT-pro-BNP (pro-BNP) serum/plasma	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					pg/mL	0	10000	Literature (SS)	https://onlinelibrary.wiley.com/doi/full/10.1111/j.1751-7133.2011.00258.x
Oestradiol	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					pmol/L	0	3000		https://www.southtees.nhs.uk/services/pathology/tests/oestradiol/
O2 saturation (Peripheral oxygen saturation) (need help with code list)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					%	0	100		
PHQ-9	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y			This maybe presented scores for subgroups. We will need to extract and calculate the final PHQ-9 score		N/A	1	27	Clinician	https://thepcc.org/sites/default/files/resources/instructions.pdf
Plasma viscosity	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	20		
Platelet count	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y						0	1500		From previous tasks sheet
Progesterone	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					ng/mL	0	600		https://www.ucsfbenioffchildrens.org/medical-tests/serum-progesterone
Prostate Specific Antigen (PSA)	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					ng/mL	0	23,162		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5476709/
Protein C	CPRD Aurum / EMIS Medical Dictionary	5/14/2024	Y					IU/dL	removed	removed		There is no upper limit. More is better. https://medlineplus.gov/lab-tests/protein-c-and-protein-s-tests/#:~:text=Higher%20than%20normal%20levels%20of,abnormal%20your%20test%20results%20are. 
